iter	Passed	Remaining
0	41	41641
1	73	36440
2	108	36151
3	146	36571
4	187	37296
5	224	37190
6	261	37060
7	297	36829
8	339	37364
9	375	37199
10	410	36924
11	450	37068
12	489	37191
13	526	37104
14	546	35870
15	581	35772
16	621	35939
17	676	36914
18	716	37006
19	754	36959
20	774	36122
21	811	36081
22	849	36066
23	893	36318
24	929	36238
25	963	36106
26	999	36006
27	1035	35944
28	1070	35850
29	1106	35775
30	1142	35725
31	1195	36149
32	1220	35756
33	1280	36383
34	1321	36425
35	1366	36586
36	1418	36913
37	1454	36813
38	1508	37169
39	1550	37218
40	1590	37210
41	1640	37424
42	1700	37836
43	1737	37742
44	1782	37825
45	1836	38097
46	1875	38025
47	1923	38141
48	1962	38087
49	2004	38080
50	2052	38192
51	2090	38105
52	2124	37962
53	2159	37839
54	2197	37759
55	2235	37680
56	2281	37744
57	2322	37725
58	2361	37670
59	2399	37588
60	2436	37510
61	2472	37404
62	2508	37307
63	2551	37318
64	2587	37224
65	2629	37217
66	2666	37127
67	2701	37022
68	2756	37192
69	2793	37118
70	2805	36710
71	2842	36630
72	2877	36544
73	2914	36467
74	2960	36512
75	3012	36620
76	3046	36514
77	3082	36439
78	3122	36397
79	3158	36317
80	3193	36237
81	3229	36157
82	3266	36084
83	3316	36166
84	3354	36108
85	3390	36029
86	3443	36134
87	3482	36087
88	3517	36004
89	3552	35923
90	3589	35858
91	3631	35840
92	3671	35805
93	3709	35757
94	3750	35728
95	3785	35649
96	3826	35618
97	3863	35558
98	3900	35494
99	3935	35419
100	3971	35348
101	4007	35285
102	4043	35212
103	4078	35137
104	4113	35063
105	4153	35034
106	4189	34965
107	4231	34947
108	4267	34882
109	4302	34814
110	4351	34854
111	4387	34783
112	4423	34719
113	4458	34653
114	4495	34596
115	4530	34528
116	4570	34494
117	4606	34431
118	4641	34364
119	4692	34410
120	4727	34345
121	4762	34274
122	4807	34275
123	4843	34217
124	4881	34170
125	4926	34175
126	4961	34107
127	4996	34036
128	5035	33996
129	5071	33937
130	5107	33878
131	5146	33840
132	5181	33778
133	5218	33722
134	5255	33676
135	5292	33620
136	5331	33584
137	5396	33706
138	5432	33650
139	5468	33593
140	5513	33591
141	5550	33537
142	5587	33485
143	5626	33444
144	5662	33391
145	5702	33356
146	5739	33301
147	5774	33244
148	5809	33178
149	5843	33113
150	5879	33059
151	5920	33032
152	5971	33060
153	6006	32998
154	6042	32940
155	6082	32909
156	6120	32864
157	6155	32801
158	6204	32818
159	6241	32767
160	6280	32726
161	6324	32715
162	6360	32661
163	6399	32619
164	6443	32606
165	6494	32630
166	6530	32576
167	6584	32608
168	6620	32553
169	6643	32436
170	6657	32273
171	6695	32231
172	6735	32197
173	6776	32167
174	6812	32117
175	6848	32063
176	6886	32019
177	6921	31962
178	6957	31913
179	6993	31860
180	7043	31869
181	7080	31821
182	7115	31767
183	7151	31715
184	7187	31663
185	7221	31601
186	7259	31563
187	7298	31523
188	7332	31461
189	7366	31405
190	7401	31349
191	7437	31298
192	7481	31283
193	7518	31237
194	7554	31187
195	7590	31136
196	7626	31085
197	7661	31033
198	7697	30984
199	7733	30935
200	7768	30880
201	7807	30843
202	7843	30793
203	7880	30748
204	7915	30695
205	7952	30652
206	7991	30613
207	8026	30563
208	8062	30513
209	8098	30466
210	8139	30436
211	8177	30395
212	8212	30342
213	8248	30295
214	8287	30259
215	8322	30206
216	8365	30185
217	8403	30145
218	8438	30092
219	8472	30039
220	8509	29993
221	8549	29962
222	8599	29964
223	8636	29917
224	8679	29895
225	8714	29845
226	8750	29796
227	8785	29746
228	8837	29753
229	8874	29711
230	8910	29662
231	8945	29611
232	8981	29566
233	9018	29523
234	9066	29513
235	9102	29467
236	9136	29413
237	9172	29367
238	9207	29317
239	9245	29276
240	9282	29234
241	9319	29190
242	9353	29139
243	9400	29127
244	9437	29083
245	9474	29041
246	9523	29033
247	9561	28993
248	9600	28956
249	9641	28924
250	9684	28899
251	9718	28847
252	9769	28843
253	9804	28796
254	9839	28746
255	9873	28696
256	9910	28652
257	9944	28600
258	9995	28596
259	10040	28576
260	10076	28531
261	10111	28482
262	10147	28435
263	10181	28384
264	10220	28346
265	10257	28304
266	10292	28256
267	10341	28245
268	10377	28199
269	10413	28154
270	10451	28113
271	10487	28068
272	10521	28019
273	10558	27975
274	10596	27934
275	10632	27891
276	10683	27884
277	10717	27834
278	10752	27786
279	10789	27744
280	10827	27704
281	10863	27659
282	10900	27617
283	10936	27573
284	10971	27525
285	11010	27488
286	11047	27444
287	11082	27397
288	11120	27359
289	11157	27316
290	11192	27269
291	11226	27221
292	11266	27186
293	11307	27153
294	11343	27108
295	11378	27062
296	11418	27026
297	11451	26976
298	11506	26977
299	11540	26928
300	11586	26905
301	11622	26863
302	11659	26821
303	11697	26780
304	11734	26740
305	11770	26694
306	11809	26657
307	11848	26619
308	11883	26573
309	11919	26531
310	11955	26486
311	11993	26446
312	12029	26402
313	12066	26361
314	12100	26314
315	12155	26311
316	12192	26269
317	12228	26226
318	12278	26213
319	12314	26167
320	12351	26127
